site,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
AT-Neu,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Open,Open,
AU-Fog,,,,,,,,,,,,,,,,Fair_Use,Fair_Use
AU-How,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
AU-Tum,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
AU-Wac,,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use
BE-Bra,,,,,,,Fair_Use,Fair_Use,,Fair_Use,Fair_Use,Fair_Use,,Fair_Use,Fair_Use,Fair_Use,
BE-Jal,,,,,,,,,,,,,,,,Fair_Use,
BE-Lon,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
BE-Vie,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
BR-Ban,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,
BR-Cax,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,,,
BR-Ji1,,,,,,,,,LaThuile_2007,,,,,,,,
BR-Ji2,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,,,,
BR-Ma2,,,,,,,,,LaThuile_2007,LaThuile_2007,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,
BR-Sa1,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,,
BR-Sa2,,,,,,,,,,,LaThuile_2007,LaThuile_2007,,,,,
BR-Sa3,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,,
BR-Sp1,,,,,,,,,,,LaThuile_2007,LaThuile_2007,,,,,
BW-Ghg,,,,,,,,,,,,,Fair_Use,,,,
BW-Ghm,,,,,,,,,,,,,Fair_Use,,,,
BW-Ma1,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,,,,,
CA-Ca1,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-Ca2,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-Ca3,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-Gro,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-Let,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-Man,,,,Fair_Use,Fair_Use,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,,
CA-Mer,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
CA-NS1,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
CA-NS2,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
CA-NS3,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
CA-NS4,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,,
CA-NS5,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
CA-NS6,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
CA-NS7,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
CA-Oas,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-Obs,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-Ojp,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-Qcu,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
CA-Qfo,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
CA-SF1,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,
CA-SF2,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,
CA-SF3,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,
CA-SJ1,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-SJ2,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-SJ3,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,,
CA-TP1,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,,
CA-TP2,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-TP3,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-TP4,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-WP1,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-WP2,,,,,,,,,,,,,,LaThuile_2007,,,
CA-WP3,,,,,,,,,,,,,,LaThuile_2007,,,
CG-Tch,,,,,,,,,,,,,,,,LaThuile_2007,
CH-Oe1,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
CH-Oe2,,,,,,,,,,,,,,,Fair_Use,,
CN-Anh,,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,
CN-Bed,,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,
CN-Cha,,,,,,,,,,,,,LaThuile_2007,,,,
CN-Do1,,,,,,,,,,,,,,,LaThuile_2007,,
CN-Do2,,,,,,,,,,,,,,,LaThuile_2007,,
CN-Do3,,,,,,,,,,,,,,,LaThuile_2007,,
CN-Du1,,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,
CN-Du2,,,,,,,,,,,,,,,,LaThuile_2007,
CN-HaM,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,,
CN-Hny,,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,
CN-Ku1,,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,
CN-Ku2,,,,,,,,,,,,,,,,LaThuile_2007,
CN-Xfs,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,
CN-Xi1,,,,,,,,,,,,,,,,LaThuile_2007,
CN-Xi2,,,,,,,,,,,,,,,,LaThuile_2007,
CZ-BK1,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
CZ-BK2,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,
CZ-wet,,,,,,,,,,,,,,,,Fair_Use,
DE-Bay,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,,,,,,
DE-Geb,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
DE-Gri,,,,,,,,,,,,,,,Fair_Use,Fair_Use,
DE-Hai,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
DE-Har,,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,
DE-Kli,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
DE-Meh,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
DE-Tha,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
DE-Wet,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
DK-Fou,,,,,,,,,,,,,,,Fair_Use,,
DK-Lva,,,,,,,,,,,,,,,Fair_Use,Fair_Use,
DK-Ris,,,,,,,,,,,,,,Fair_Use,Fair_Use,,
DK-Sor,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
ES-ES1,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
ES-ES2,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
ES-LJu,,,,,,,,,,,,,,LaThuile_2007,,,
ES-LMa,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
ES-VDA,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
FI-Hyy,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
FI-Kaa,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
FI-Sii,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,,
FI-Sod,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
FR-Aur,,,,,,,,,,,,,,,LaThuile_2007,,
FR-Fon,,,,,,,,,,,,,,,Fair_Use,Fair_Use,
FR-Gri,,,,,,,,,,,,,,,Fair_Use,Fair_Use,
FR-Hes,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
FR-Lam,,,,,,,,,,,,,,,LaThuile_2007,,
FR-LBr,,,,,,Fair_Use,Fair_Use,Fair_Use,,Fair_Use,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
FR-Lq1,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
FR-Lq2,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
FR-Pue,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
GF-Guy,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,
HU-Bug,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
HU-Mat,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
ID-Pag,,,,,,,,,,,,Fair_Use,Fair_Use,,,,
IE-Ca1,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
IE-Dri,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,
IL-Yat,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
IS-Gun,,,,,,Fair_Use,Fair_Use,Fair_Use,,,,,,,,,
IT-Amp,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
IT-BCi,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
IT-Be2,,,,,,,,,,,,,,,,LaThuile_2007,
IT-Bon,,,,,,,,,,,,,,,,LaThuile_2007,
IT-Cas,,,,,,,,,,,,,,,,Fair_Use,
IT-Col,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
IT-Cpz,,,,,,,Fair_Use,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
IT-Lav,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,Fair_Use,,Fair_Use,
IT-Lec,,,,,,,,,,,,,,,Fair_Use,Fair_Use,
IT-LMa,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
IT-Mal,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
IT-MBo,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
IT-Noe,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,
IT-Non,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,,Fair_Use,
IT-Pia,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
IT-PT1,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,,
IT-Ren,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
IT-Ro1,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
IT-Ro2,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
IT-SRo,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
IT-Vig,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,,
JP-Mas,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,,,,
JP-Tak,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,,
JP-Tef,,,,,,,,,,,LaThuile_2007,LaThuile_2007,,LaThuile_2007,LaThuile_2007,,
JP-Tom,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,,,
KR-Hnm,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,
KR-Kw1,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007
NL-Ca1,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
NL-Haa,,,,,,,,,,,,,Fair_Use,Fair_Use,,,
NL-Hor,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
NL-Lan,,,,,,,,,,,,,,,Fair_Use,Fair_Use,
NL-Loo,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
NL-Lut,,,,,,,,,,,,,,,,Fair_Use,
NL-Mol,,,,,,,,,,,,,,,Fair_Use,Fair_Use,
PL-wet,,,,,,,,,,,,,,Fair_Use,Fair_Use,,
PT-Esp,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,Fair_Use,
PT-Mi1,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,
PT-Mi2,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
RU-Che,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
RU-Cok,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,
RU-Fyo,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Open,Open,
RU-Ha1,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,,
RU-Ha2,,,,,,,,,,,,Fair_Use,Fair_Use,,,,
RU-Ha3,,,,,,,,,,,,,,Fair_Use,,,
RU-Zot,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,,
SE-Abi,,,,,,,,,,,,,,,LaThuile_2007,,
SE-Deg,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
SE-Faj,,,,,,,,,,,,,,,Fair_Use,Fair_Use,
SE-Fla,,,,,,Fair_Use,Fair_Use,Fair_Use,,Fair_Use,Fair_Use,Fair_Use,,,,,
SE-Nor,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,,Fair_Use,,Fair_Use,,
SE-Sk1,,,,,,,,,,,,,,,Fair_Use,,
SE-Sk2,,,,,,,,,,,,,,Fair_Use,Fair_Use,,
SE-St1,,,,,,,,,,,,,,,,LaThuile_2007,
SK-Tat,,,,,,,,,,,,,,,Fair_Use,,
TW-Tar,,,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007
UK-AMo,,,,,,,,,,,,,,,Fair_Use,,
UK-EBu,,,,,,,,,,,,,,Fair_Use,,Fair_Use,
UK-ESa,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,
UK-Gri,,,,,,,Fair_Use,Fair_Use,,Fair_Use,Fair_Use,,,,Fair_Use,Fair_Use,
UK-Ham,,,,,,,,,,,,,,Fair_Use,Fair_Use,,
UK-Her,,,,,,,,,,,,,,,,Fair_Use,
UK-PL3,,,,,,,,,,,,,,,Fair_Use,Fair_Use,
UK-Tad,,,,,,,,,,,Fair_Use,,,,,,
US-ARb,,,,,,,,,,,,,,,Open,Open,
US-ARc,,,,,,,,,,,,,,,Open,Open,
US-ARM,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
US-Atq,,,,,,,,,LaThuile_2007,,LaThuile_2007,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,
US-Aud,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
US-Bar,,,,,,,,,,,,,,Fair_Use,Fair_Use,,
US-Bkg,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
US-Blo,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
US-Bn1,,,,,,,,,,,,,LaThuile_2007,,,,
US-Bn2,,,,,,,,,,,,,LaThuile_2007,,,,
US-Bn3,,,,,,,,,,,,,LaThuile_2007,,,,
US-Bo1,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use
US-Bo2,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,
US-Brw,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,,,,
US-CaV,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,,
US-Dk1,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
US-Dk2,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
US-Dk3,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
US-Fmf,,,,,,,,,,,,,,,Open,Open,
US-FPe,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
US-FR2,,,,,,,,,,,,,,Open,Open,Open,
US-Fuf,,,,,,,,,,,,,,,Open,Open,
US-Fwf,,,,,,,,,,,,,,,Open,Open,
US-Goo,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
US-Ha1,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
US-Ha2,,,,,,,,,,,,,,LaThuile_2007,,,
US-Ho1,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,
US-Ho2,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,
US-IB1,,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007
US-IB2,,,,,,,,,,,,,,LaThuile_2007,,LaThuile_2007,LaThuile_2007
US-Ivo,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,
US-KS1,,,,,,,,,,,,LaThuile_2007,,,,,
US-KS2,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,
US-Los,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
US-LPH,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
US-Me1,,,,,,,,,,,,,,Open,Open,,
US-Me2,,,,,,,,,,,,,Open,Open,Open,,
US-Me3,,,,,,,,,,,,,,Open,Open,,
US-Me4,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,,,,,
US-MMS,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
US-MOz,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
US-NC1,,,,,,,,,,,,,,,Open,Open,
US-NC2,,,,,,,,,,,,,,,Open,Open,
US-Ne1,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
US-Ne2,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
US-Ne3,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
US-NR1,,,,,,,,,LaThuile_2007,LaThuile_2007,,LaThuile_2007,LaThuile_2007,,,,
US-Oho,,,,,,,,,,,,,,Fair_Use,Fair_Use,,
US-PFa,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,Fair_Use,,,,
US-SO2,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,
US-SO3,,,,,,,LaThuile_2007,LaThuile_2007,,,LaThuile_2007,,LaThuile_2007,,LaThuile_2007,LaThuile_2007,
US-SO4,,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,
US-SP1,,,,,,,,,,Fair_Use,Fair_Use,,,,Fair_Use,,
US-SP2,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,
US-SP3,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,
US-SP4,,,,,,,,Fair_Use,,,,,,,,,
US-SRM,,,,,,,,,,,,,,Open,Open,Open,
US-Syv,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
US-Ton,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
US-UMB,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,,
US-Var,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
US-WBW,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,,,,,,
US-WCr,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
US-Wi0,,,,,,,,,,,,Fair_Use,,,,,
US-Wi1,,,,,,,,,,,,,Fair_Use,,,,
US-Wi2,,,,,,,,,,,,,Fair_Use,,,,
US-Wi4,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
US-Wi5,,,,,,,,,,,,,,Fair_Use,,,
US-Wi6,,,,,,,,,,,,Fair_Use,,,,,
US-Wi7,,,,,,,,,,,,,,,Fair_Use,,
US-Wi8,,,,,,,,,,,,Fair_Use,,,,,
US-Wi9,,,,,,,,,,,,,,Fair_Use,Fair_Use,,
US-Wkg,,,,,,,,,,,,,,Open,Open,Open,
US-Wrc,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,LaThuile_2007,LaThuile_2007,LaThuile_2007,
VU-Coc,,,,,,,,,,,Open,Open,Open,Open,,,
ZA-Kru,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,,,

